Running...
Motion detected
         19638 function calls (19627 primitive calls) in 12.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 camera.py:1252(_get_framerate)
       13    0.000    0.000    0.001    0.000 collections.py:352(<genexpr>)
       10    0.000    0.000    0.001    0.000 ImageFile.py:516(_safe_read)
       86    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:424(Thread)
       13    0.000    0.000    0.001    0.000 collections.py:354(<genexpr>)
        2    0.000    0.000    0.001    0.001 encoders.py:66(_encoder_callback)
        6    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        3    0.000    0.000    0.001    0.000 threading.py:371(__init__)
       18    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 Image.py:2082(register_open)
        4    0.000    0.000    0.001    0.000 threading.py:181(Condition)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        2    0.000    0.000    0.000    0.000 camera.py:246(_init_led)
        2    0.000    0.000    0.000    0.000 threading.py:393(clear)
        1    0.000    0.000    0.007    0.007 warnings.py:45(filterwarnings)
        8    0.000    0.000    0.000    0.000 Image.py:503(__getattr__)
        4    0.000    0.000    0.001    0.000 Image.py:83(isStringType)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
        3    0.000    0.000    0.001    0.000 threading.py:385(set)
        1    0.000    0.000    0.000    0.000 mimetypes.py:378(_default_mime_types)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
       35    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 encoders.py:485(_callback_write)
       12    0.000    0.000    0.000    0.000 {max}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.118    0.118 mimetypes.py:194(read)
